PRODUCTION_LINE,Date,Planned_Production_Time_Seconds,Actual_Run_Time_Seconds,Total_Actual_Output,Ideal_Cycle_Time_Seconds,Availability,Performance,Quality,OEE
LINE-01,2023-01-02,14520.0,14520.0,1177,11.0,1.0,0.8916666666666667,1.0,0.8916666666666667
LINE-01,2023-01-03,24780.0,24780.0,1976,11.0,1.0,0.8771589991928975,1.0,0.8771589991928975
LINE-01,2023-01-04,24420.0,24420.0,1977,11.0,1.0,0.8905405405405405,1.0,0.8905405405405405
LINE-01,2023-01-05,24300.0,24300.0,1976,11.0,1.0,0.8944855967078189,1.0,0.8944855967078189
LINE-01,2023-01-06,18240.0,18240.0,1534,11.0,1.0,0.925109649122807,1.0,0.925109649122807
LINE-01,2023-01-07,23580.0,23580.0,1791,11.0,1.0,0.8354961832061069,1.0,0.8354961832061069
LINE-01,2023-01-09,23760.0,23760.0,1976,11.0,1.0,0.9148148148148149,1.0,0.9148148148148149
LINE-01,2023-01-10,23460.0,23460.0,1977,11.0,1.0,0.9269820971867008,1.0,0.9269820971867008
LINE-01,2023-01-11,23700.0,23700.0,1978,11.0,1.0,0.9180590717299578,1.0,0.9180590717299578
LINE-01,2023-01-12,24720.0,24720.0,1974,11.0,1.0,0.8783980582524272,1.0,0.8783980582524272
LINE-01,2023-01-13,12900.0,12900.0,1472,11.0,1.0,1.2551937984496124,1.0,1.2551937984496124
LINE-01,2023-01-14,22380.0,22380.0,1883,11.0,1.0,0.9255138516532618,1.0,0.9255138516532618
LINE-01,2023-01-17,21480.0,21480.0,1891,11.0,1.0,0.968389199255121,1.0,0.968389199255121
LINE-01,2023-01-18,23280.0,23280.0,1962,11.0,1.0,0.9270618556701031,1.0,0.9270618556701031
LINE-01,2023-01-19,22740.0,22740.0,1986,11.0,1.0,0.9606860158311346,1.0,0.9606860158311346
LINE-01,2023-01-20,18960.0,18960.0,1410,11.0,1.0,0.8180379746835443,1.0,0.8180379746835443
LINE-01,2023-01-21,23640.0,23640.0,1915,11.0,1.0,0.8910744500846024,1.0,0.8910744500846024
LINE-01,2023-01-23,23340.0,23340.0,2018,11.0,1.0,0.9510711225364181,1.0,0.9510711225364181
LINE-01,2023-01-24,24420.0,24420.0,1982,11.0,1.0,0.8927927927927928,1.0,0.8927927927927928
LINE-01,2023-01-25,19740.0,19740.0,1732,11.0,1.0,0.9651469098277609,1.0,0.9651469098277609
LINE-01,2023-01-26,23700.0,23700.0,2002,11.0,1.0,0.9291983122362869,1.0,0.9291983122362869
LINE-01,2023-01-27,21540.0,21540.0,1746,11.0,1.0,0.8916434540389973,1.0,0.8916434540389973
LINE-01,2023-01-28,22500.0,22500.0,1794,11.0,1.0,0.8770666666666667,1.0,0.8770666666666667
LINE-01,2023-01-30,19500.0,19500.0,1662,11.0,1.0,0.9375384615384615,1.0,0.9375384615384615
LINE-01,2023-01-31,30060.0,30060.0,2368,11.0,1.0,0.8665335994677312,1.0,0.8665335994677312
LINE-01,2023-02-01,30180.0,30180.0,2528,11.0,1.0,0.9214049039098741,1.0,0.9214049039098741
LINE-01,2023-02-02,29040.0,29040.0,2399,11.0,1.0,0.9087121212121212,1.0,0.9087121212121212
LINE-01,2023-02-03,31560.0,31560.0,2242,11.0,1.0,0.7814321926489227,1.0,0.7814321926489227
LINE-01,2023-02-04,23460.0,23460.0,1977,11.0,1.0,0.9269820971867008,1.0,0.9269820971867008
LINE-01,2023-02-06,22380.0,22380.0,1938,11.0,1.0,0.9525469168900804,1.0,0.9525469168900804
LINE-01,2023-02-07,21900.0,21900.0,1980,11.0,1.0,0.9945205479452055,1.0,0.9945205479452055
LINE-01,2023-02-08,27240.0,27240.0,2338,11.0,1.0,0.9441262848751836,1.0,0.9441262848751836
LINE-01,2023-02-09,27060.0,27060.0,2363,11.0,1.0,0.9605691056910569,1.0,0.9605691056910569
LINE-01,2023-02-10,22080.0,22080.0,1893,11.0,1.0,0.9430706521739131,1.0,0.9430706521739131
